  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03159      -0.26404       -0.23245      0.02631    0.22642    0.20011     -1.16164     518     355
-0.03159      -0.43987       -0.40828      0.02631    0.43994    0.41363     -0.98706     1686     3950
-0.03159      -0.03411       -0.00252      0.02631    0.02862    0.0023     -1.09437     1256     1252
-0.03159      -0.03159       -0.0      0.02631    0.02618    -0.00014     0.02778     1256     1252
-0.03159      -0.03121       0.00038      0.02631    0.0264    9e-05     4.125     1256     1252
-0.03159      -0.03121       0.00038      0.02631    0.02595    -0.00037     -1.03125     1256     1252
-0.03159      -0.03114       0.00045      0.02631    0.02587    -0.00044     -1.02586     1256     1252
-0.03159      -0.03136       0.00023      0.02631    0.02602    -0.00029     -0.77632     1256     1252
-0.03159      -0.03144       0.00015      0.02631    0.02656    0.00024     0.60938     1256     1252
-0.03159      -0.03182       -0.00023      0.02631    0.02587    -0.00044     0.52586     1256     1252
-0.03159      -0.03144       0.00015      0.02631    0.02618    -0.00014     -1.08333     1256     1252
-0.03159      -0.03152       7e-05      0.02631    0.02618    -0.00014     -0.52778     1256     1252
-0.03159      -0.03144       0.00015      0.02631    0.02633    2e-05     9.75     1256     1252
-0.03159      -0.0319       -0.00031      0.02631    0.0264    9e-05     -3.375     1256     1252
-0.03159      -0.03121       0.00038      0.02631    0.02556    -0.00075     -0.5051     1256     1252
-0.03159      -0.03152       7e-05      0.02631    0.02587    -0.00044     -0.16379     1256     1252
-0.03159      -0.03152       7e-05      0.02631    0.02625    -6e-05     -1.1875     1256     1252
-0.03159      -0.03129       0.0003      0.02631    0.02618    -0.00014     -2.19444     1256     1252
-0.03159      -0.03136       0.00023      0.02631    0.0264    9e-05     2.45833     1256     1252
-0.03159      -0.03167       -8e-05      0.02631    0.02633    2e-05     -5.25     1256     1252
-0.03159      -0.03129       0.0003      0.02631    0.02602    -0.00029     -1.03947     1256     1252
-0.03159      -0.03144       0.00015      0.02631    0.02618    -0.00014     -1.08333     1256     1252
-0.03159      -0.03136       0.00023      0.02631    0.02663    0.00032     0.70238     1256     1252
