  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03194      -0.26404       -0.2321      0.026    0.22642    0.20042     -1.15806     518     355
-0.03194      -0.43987       -0.40792      0.026    0.43994    0.41394     -0.98545     1686     3950
-0.03194      -0.03396       -0.00201      0.026    0.02778    0.00178     -1.13305     1254     1251
-0.03194      -0.03129       0.00066      0.026    0.02556    -0.00043     -1.50877     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02572    -0.00028     -1.51351     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02549    -0.00051     -0.98507     1254     1251
-0.03194      -0.03175       0.0002      0.026    0.02602    2e-05     8.66667     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02587    -0.00013     -3.88235     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.0261    0.0001     3.53846     1254     1251
-0.03194      -0.03136       0.00058      0.026    0.02541    -0.00059     -0.98701     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02587    -0.00013     -3.88235     1254     1251
-0.03194      -0.03129       0.00066      0.026    0.02572    -0.00028     -2.32432     1254     1251
-0.03194      -0.03136       0.00058      0.026    0.02602    2e-05     25.33333     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02618    0.00018     0.26087     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02602    2e-05     18.66667     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02618    0.00018     1.56522     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02541    -0.00059     -0.72727     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02556    -0.00043     -0.63158     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02595    -5e-05     -6.57143     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02587    -0.00013     -2.70588     1254     1251
-0.03194      -0.03129       0.00066      0.026    0.02518    -0.00082     -0.80374     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02595    -5e-05     -0.85714     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02587    -0.00013     -2.70588     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02579    -0.00021     -2.07407     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02595    -5e-05     -5.14286     1254     1251
-0.03194      -0.03175       0.0002      0.026    0.02534    -0.00066     -0.29885     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02595    -5e-05     -9.42857     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02587    -0.00013     -2.11765     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02564    -0.00036     -0.12766     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02579    -0.00021     -2.44444     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02556    -0.00043     -0.10526     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02618    0.00018     2.43478     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02602    2e-05     18.66667     1254     1251
-0.03194      -0.03175       0.0002      0.026    0.0264    0.0004     0.49057     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02564    -0.00036     -0.97872     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02579    -0.00021     -0.22222     1254     1251
-0.03194      -0.03136       0.00058      0.026    0.02595    -5e-05     -10.85714     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02572    -0.00028     -1.78378     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.0261    0.0001     5.07692     1254     1251
-0.03194      -0.03182       0.00012      0.026    0.02602    2e-05     5.33333     1254     1251
-0.03194      -0.03136       0.00058      0.026    0.02534    -0.00066     -0.87356     1254     1251
-0.03194      -0.03182       0.00012      0.026    0.02587    -0.00013     -0.94118     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02595    -5e-05     -6.57143     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02579    -0.00021     -2.44444     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02587    -0.00013     -2.11765     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02587    -0.00013     -2.11765     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02564    -0.00036     -0.76596     1254     1251
-0.03194      -0.03182       0.00012      0.026    0.02579    -0.00021     -0.59259     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02556    -0.00043     -0.63158     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02602    2e-05     18.66667     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02602    2e-05     18.66667     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02595    -5e-05     -0.85714     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02556    -0.00043     -0.80702     1254     1251
-0.03194      -0.03182       0.00012      0.026    0.0261    0.0001     1.23077     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02564    -0.00036     -0.97872     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.0264    0.0004     0.86792     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.02564    -0.00036     -0.76596     1254     1251
-0.03194      -0.0319       5e-05      0.026    0.02595    -5e-05     -0.85714     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02618    0.00018     2.43478     1254     1251
-0.03194      -0.03167       0.00027      0.026    0.0261    0.0001     2.76923     1254     1251
-0.03194      -0.03159       0.00035      0.026    0.02556    -0.00043     -0.80702     1254     1251
-0.03194      -0.03152       0.00043      0.026    0.02572    -0.00028     -1.51351     1254     1251
-0.03194      -0.03144       0.0005      0.026    0.02595    -5e-05     -9.42857     1254     1251
-0.03194      -0.03182       0.00012      0.026    0.02602    2e-05     5.33333     1254     1251
