  ---------- Measurements R0 at 220.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03165      -0.03213       -0.00048      0.02574    0.0274    0.00165     -0.28868     1253     1250
-0.03165      -0.03159       6e-05      0.02574    0.02541    -0.00033     -0.17241     1253     1250
-0.03165      -0.03152       0.00013      0.02574    0.02572    -3e-05     -5.0     1253     1250
-0.03165      0.04235       0.074      0.02574    0.05624    0.0305     2.4265     1253     1250
-0.03165      0.25343       0.28508      0.02574    0.19788    0.17213     1.65617     1253     1250
-0.03165      0.30266       0.33431      0.02574    0.23176    0.20602     1.62271     1253     1250
-0.03165      0.30937       0.34102      0.02574    0.23611    0.21037     1.62108     1253     1250
-0.03165      0.31082       0.34247      0.02574    0.23718    0.21144     1.61975     1253     1250
-0.03165      0.31074       0.3424      0.02574    0.23741    0.21166     1.61763     1253     1250
-0.03165      0.31105       0.3427      0.02574    0.23695    0.21121     1.62259     1253     1250
-0.03165      0.31136       0.34301      0.02574    0.23695    0.21121     1.62403     1253     1250
-0.03165      0.31097       0.34262      0.02574    0.23726    0.21151     1.61988     1253     1250
-0.03165      0.31097       0.34262      0.02574    0.2371    0.21136     1.62105     1253     1250
-0.03165      0.31151       0.34316      0.02574    0.23703    0.21128     1.62417     1253     1250
-0.03165      0.31128       0.34293      0.02574    0.23794    0.2122     1.61608     1253     1250
-0.03165      0.31143       0.34308      0.02574    0.23748    0.21174     1.62029     1253     1250
-0.03165      0.31128       0.34293      0.02574    0.23794    0.2122     1.61608     1253     1250
-0.03165      0.31151       0.34316      0.02574    0.2371    0.21136     1.62358     1253     1250
-0.03165      0.31136       0.34301      0.02574    0.23718    0.21144     1.62227     1253     1250
-0.03165      0.31158       0.34323      0.02574    0.23733    0.21159     1.62218     1253     1250
-0.03165      0.31136       0.34301      0.02574    0.23718    0.21144     1.62227     1253     1250
-0.03165      0.31128       0.34293      0.02574    0.23748    0.21174     1.61957     1253     1250
-0.03165      0.31181       0.34346      0.02574    0.23756    0.21182     1.62151     1253     1250
-0.03165      0.31143       0.34308      0.02574    0.23748    0.21174     1.62029     1253     1250
-0.03165      0.31197       0.34362      0.02574    0.23718    0.21144     1.62516     1253     1250
-0.03165      0.31189       0.34354      0.02574    0.23756    0.21182     1.62187     1253     1250
-0.03165      0.31174       0.34339      0.02574    0.23756    0.21182     1.62115     1253     1250
-0.03165      0.31158       0.34323      0.02574    0.23779    0.21205     1.61868     1253     1250
-0.03165      0.31158       0.34323      0.02574    0.23748    0.21174     1.62102     1253     1250
-0.03165      0.31204       0.34369      0.02574    0.23741    0.21166     1.62376     1253     1250
-0.03165      0.31197       0.34362      0.02574    0.23726    0.21151     1.62457     1253     1250
-0.03165      0.31189       0.34354      0.02574    0.23741    0.21166     1.62304     1253     1250
-0.03165      0.31166       0.34331      0.02574    0.2368    0.21105     1.62665     1253     1250
-0.03165      0.31197       0.34362      0.02574    0.23764    0.21189     1.62165     1253     1250
-0.03165      0.31174       0.34339      0.02574    0.23748    0.21174     1.62174     1253     1250
-0.03165      0.31212       0.34377      0.02574    0.23756    0.21182     1.62295     1253     1250
-0.03165      0.31204       0.34369      0.02574    0.23771    0.21197     1.62142     1253     1250
-0.03165      0.31166       0.34331      0.02574    0.23787    0.21212     1.61846     1253     1250
-0.03165      0.31219       0.34385      0.02574    0.23703    0.21128     1.62742     1253     1250
-0.03165      0.31166       0.34331      0.02574    0.23718    0.21144     1.62372     1253     1250
-0.03165      0.31204       0.34369      0.02574    0.23794    0.2122     1.61968     1253     1250
-0.03165      0.31219       0.34385      0.02574    0.23695    0.21121     1.62801     1253     1250
-0.03165      0.31212       0.34377      0.02574    0.23756    0.21182     1.62295     1253     1250
-0.03165      0.31242       0.34407      0.02574    0.2381    0.21235     1.62031     1253     1250
-0.03165      0.31212       0.34377      0.02574    0.23794    0.2122     1.62003     1253     1250
-0.03165      0.31212       0.34377      0.02574    0.23779    0.21205     1.6212     1253     1250
-0.03165      0.3125       0.34415      0.02574    0.23764    0.21189     1.62417     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23756    0.21182     1.62403     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23771    0.21197     1.62286     1253     1250
-0.03165      0.31227       0.34392      0.02574    0.23779    0.21205     1.62192     1253     1250
-0.03165      0.31235       0.344      0.02574    0.2371    0.21136     1.62755     1253     1250
-0.03165      0.31242       0.34407      0.02574    0.23771    0.21197     1.62322     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23756    0.21182     1.62403     1253     1250
-0.03165      0.31204       0.34369      0.02574    0.23741    0.21166     1.62376     1253     1250
-0.03165      0.31265       0.3443      0.02574    0.23726    0.21151     1.62782     1253     1250
-0.03165      0.31265       0.3443      0.02574    0.23741    0.21166     1.62665     1253     1250
-0.03165      0.31273       0.34438      0.02574    0.23748    0.21174     1.62642     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23756    0.21182     1.62403     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23726    0.21151     1.62638     1253     1250
-0.03165      0.31242       0.34407      0.02574    0.23771    0.21197     1.62322     1253     1250
-0.03165      0.3125       0.34415      0.02574    0.23787    0.21212     1.62242     1253     1250
-0.03165      0.31288       0.34453      0.02574    0.23756    0.21182     1.62656     1253     1250
-0.03165      0.31273       0.34438      0.02574    0.23771    0.21197     1.62466     1253     1250
-0.03165      0.3125       0.34415      0.02574    0.23764    0.21189     1.62417     1253     1250
-0.03165      0.31235       0.344      0.02574    0.23718    0.21144     1.62696     1253     1250
-0.03165      0.3125       0.34415      0.02574    0.23779    0.21205     1.623     1253     1250
-0.03165      0.31258       0.34423      0.02574    0.23787    0.21212     1.62278     1253     1250
