  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.0319       0.03961
-0.0319       0.03961
-0.03243       0.03991
-0.03236       0.03968
-0.03167       0.0393
-0.03152       0.0393
-0.03197       0.03938
-0.03182       0.03991
-0.03167       0.03968
-0.03159       0.03953
-0.03236       0.03961
-0.03251       0.03961
-0.03251       0.03938
-0.03243       0.03938
-0.03251       0.03961
-0.03251       0.03961
-0.03243       0.03953
-0.03259       0.03907
-0.03236       0.039
-0.03175       0.03915
  ----------------------------------------------------------
 Vzero = -0.03214       Izero = 0.03949
  ---------------------------------------------------------- 
