  ---------- Measurements R0 at 400.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03044      -0.03304       -0.0026      0.02469    0.02671    0.00202     -1.28922     1203     1203
-0.03044      -0.02808       0.00236      0.02469    0.0248    0.00011     21.31034     1203     1203
-0.03044      -0.03022       0.00022      0.02469    0.02442    -0.00027     -0.8169     1203     1203
-0.03044      -0.03007       0.00037      0.02469    0.0245    -0.00019     -1.92157     1203     1203
-0.03044      -0.03022       0.00022      0.02469    0.0245    -0.00019     -1.13725     1203     1203
-0.03044      -0.03022       0.00022      0.02469    0.02411    -0.00058     -0.38411     1203     1203
-0.03044      -0.03098       -0.00054      0.02469    0.02511    0.00042     -1.30275     1203     1203
-0.03044      -0.02999       0.00045      0.02469    0.0248    0.00011     4.06897     1203     1203
-0.03044      -0.0306       -0.00016      0.02469    0.02419    -0.0005     0.32061     1203     1203
-0.03044      -0.03068       -0.00024      0.02469    0.02411    -0.00058     0.4106     1203     1203
-0.03044      -0.03045       -1e-05      0.02469    0.02503    0.00034     -0.02247     1203     1203
-0.03044      -0.0306       -0.00016      0.02469    0.02465    -4e-05     3.81818     1203     1203
-0.03044      -0.03053       -8e-05      0.02469    0.02511    0.00042     -0.20183     1203     1203
-0.03044      -0.03007       0.00037      0.02469    0.02633    0.00164     0.22844     1203     1203
-0.03044      -0.03045       -1e-05      0.02469    0.03304    0.00835     -0.00091     1203     1203
-0.03044      -0.02808       0.00236      0.02469    0.0422    0.01751     0.13467     1203     1203
-0.03044      -0.02686       0.00358      0.02469    0.06296    0.03827     0.09353     1203     1203
-0.03044      -0.02587       0.00457      0.02469    0.10485    0.08016     0.05702     1203     1203
-0.03044      0.00412       0.03456      0.02469    0.16567    0.14098     0.24515     1203     1203
-0.03044      0.00626       0.0367      0.02469    0.23184    0.20715     0.17716     1203     1203
-0.03044      0.00801       0.03845      0.02469    0.28701    0.26232     0.14659     1203     1203
-0.03044      0.00878       0.03922      0.02469    0.32792    0.30322     0.12933     1203     1203
-0.03044      0.00962       0.04006      0.02469    0.35607    0.33138     0.12088     1203     1203
-0.03044      0.00984       0.04029      0.02469    0.37569    0.351     0.11477     1203     1203
-0.03044      0.01023       0.04067      0.02469    0.38759    0.3629     0.11206     1203     1203
-0.03044      0.01068       0.04112      0.02469    0.39591    0.37122     0.11078     1203     1203
-0.03044      0.01068       0.04112      0.02469    0.40087    0.37618     0.10932     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.4053    0.38061     0.10865     1203     1203
-0.03044      0.01084       0.04128      0.02469    0.40697    0.38228     0.10798     1203     1203
-0.03044      0.01068       0.04112      0.02469    0.40881    0.38412     0.10706     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.41026    0.38557     0.10725     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.4111    0.3864     0.10702     1203     1203
-0.03044      0.01099       0.04143      0.02469    0.41155    0.38686     0.10709     1203     1203
-0.03044      0.01076       0.0412      0.02469    0.41178    0.38709     0.10644     1203     1203
-0.03044      0.01084       0.04128      0.02469    0.41239    0.3877     0.10647     1203     1203
-0.03044      0.01076       0.0412      0.02469    0.41277    0.38808     0.10617     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.41247    0.38778     0.10664     1203     1203
-0.03044      0.01107       0.04151      0.02469    0.41308    0.38839     0.10687     1203     1203
-0.03044      0.01076       0.0412      0.02469    0.41277    0.38808     0.10617     1203     1203
-0.03044      0.01099       0.04143      0.02469    0.413    0.38831     0.10669     1203     1203
-0.03044      0.01107       0.04151      0.02469    0.41354    0.38885     0.10674     1203     1203
-0.03044      0.01084       0.04128      0.02469    0.413    0.38831     0.1063     1203     1203
-0.03044      0.01099       0.04143      0.02469    0.41354    0.38885     0.10655     1203     1203
-0.03044      0.01107       0.04151      0.02469    0.41331    0.38862     0.10681     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.41339    0.38869     0.10639     1203     1203
-0.03044      0.01084       0.04128      0.02469    0.41308    0.38839     0.10628     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.41316    0.38847     0.10645     1203     1203
-0.03044      0.01114       0.04158      0.02469    0.41361    0.38892     0.10692     1203     1203
-0.03044      0.01091       0.04135      0.02469    0.41316    0.38847     0.10645     1203     1203
-0.03044      0.01099       0.04143      0.02469    0.41293    0.38824     0.10671     1203     1203
