  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.03205       0.0264
-0.03106       0.02427
-0.03159       0.02404
-0.03121       0.02434
-0.03136       0.0245
-0.03205       0.02465
-0.03175       0.02427
-0.03106       0.02419
-0.03197       0.02427
-0.03136       0.02427
-0.03144       0.02427
-0.03136       0.02404
-0.03182       0.02473
-0.03175       0.0245
-0.03114       0.02465
-0.03197       0.0245
-0.03152       0.02373
-0.03144       0.02411
-0.03175       0.02457
-0.0319       0.02396
  ----------------------------------------------------------
 Vzero = -0.03158       Izero = 0.02441
  ---------------------------------------------------------- 
