  ---------- Measurements R0 at 150.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.0475      -0.04876       -0.00126      0.02495    0.02648    0.00153     -0.8209     1228     1228
-0.0475      -0.04792       -0.00042      0.02495    0.02503    8e-05     -5.0     1228     1228
-0.0475      -0.04731       0.00019      0.02495    0.02526    0.00031     0.60976     1228     1228
-0.0475      -0.04739       0.00011      0.02495    0.02511    0.00016     0.71429     1228     1228
-0.0475      -0.04502       0.00248      0.02495    0.02778    0.00283     0.87601     1228     1228
-0.0475      0.02343       0.07093      0.02495    0.06601    0.04106     1.72737     1228     1228
-0.0475      0.07677       0.12428      0.02495    0.14148    0.11654     1.0664     1228     1228
-0.0475      0.0918       0.13931      0.02495    0.16308    0.13813     1.00851     1228     1228
-0.0475      0.0944       0.1419      0.02495    0.1672    0.14225     0.99753     1228     1228
-0.0475      0.09509       0.14259      0.02495    0.1685    0.14355     0.9933     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.16857    0.14363     0.99384     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16804    0.14309     0.99808     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.16827    0.14332     0.99595     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.16827    0.14332     0.99595     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16842    0.14348     0.99596     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16819    0.14325     0.99755     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16781    0.14286     0.99968     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.16827    0.14332     0.99595     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16888    0.14393     0.99279     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16865    0.1437     0.99437     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16804    0.14309     0.99808     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16819    0.14325     0.99755     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.16888    0.14393     0.99173     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16812    0.14317     0.99861     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16873    0.14378     0.99384     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16827    0.14332     0.99808     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16835    0.1434     0.99596     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16812    0.14317     0.99755     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16827    0.14332     0.99649     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16819    0.14325     0.99755     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16873    0.14378     0.99384     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16857    0.14363     0.9949     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.1685    0.14355     0.9949     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16865    0.1437     0.99437     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.1685    0.14355     0.9949     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16819    0.14325     0.99702     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16857    0.14363     0.9949     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1688    0.14386     0.99385     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16911    0.14416     0.99121     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16903    0.14409     0.99174     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16842    0.14348     0.99543     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16934    0.14439     0.99017     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16873    0.14378     0.99331     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.1685    0.14355     0.9949     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09524       0.14274      0.02495    0.1685    0.14355     0.99436     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16865    0.1437     0.99384     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16812    0.14317     0.99755     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16812    0.14317     0.99808     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16873    0.14378     0.99437     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16827    0.14332     0.99755     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16819    0.14325     0.99808     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.1685    0.14355     0.9949     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.1688    0.14386     0.99438     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16827    0.14332     0.99649     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16857    0.14363     0.9949     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16865    0.1437     0.99437     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16873    0.14378     0.99437     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16888    0.14393     0.99332     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16865    0.1437     0.99384     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16796    0.14302     0.99968     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16819    0.14325     0.99808     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16819    0.14325     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16842    0.14348     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16911    0.14416     0.99174     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16796    0.14302     0.99968     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16857    0.14363     0.99596     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.1685    0.14355     0.99649     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16819    0.14325     0.99861     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16896    0.14401     0.99332     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16842    0.14348     0.99649     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.1685    0.14355     0.99649     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16827    0.14332     0.99808     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.1688    0.14386     0.99438     1228     1228
-0.0475      0.09562       0.14312      0.02495    0.16827    0.14332     0.99862     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16857    0.14363     0.9949     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16842    0.14348     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16842    0.14348     0.99649     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16873    0.14378     0.99384     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16827    0.14332     0.99755     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16888    0.14393     0.99279     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16865    0.1437     0.9949     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1688    0.14386     0.99332     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16873    0.14378     0.99437     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16865    0.1437     0.9949     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16873    0.14378     0.99384     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.1688    0.14386     0.99438     1228     1228
-0.0475      0.09531       0.14282      0.02495    0.16827    0.14332     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16857    0.14363     0.99543     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16819    0.14325     0.99808     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16865    0.1437     0.9949     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16835    0.1434     0.99702     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16857    0.14363     0.9949     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16819    0.14325     0.99808     1228     1228
-0.0475      0.09562       0.14312      0.02495    0.16804    0.14309     1.00021     1228     1228
-0.0475      0.09562       0.14312      0.02495    0.16842    0.14348     0.99755     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16819    0.14325     0.99808     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16827    0.14332     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09562       0.14312      0.02495    0.16842    0.14348     0.99755     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16812    0.14317     0.99808     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16835    0.1434     0.99649     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16842    0.14348     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16796    0.14302     0.99968     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1688    0.14386     0.99385     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16865    0.1437     0.99543     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.16827    0.14332     0.99702     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.16911    0.14416     0.99174     1228     1228
-0.0475      0.09554       0.14305      0.02495    0.16888    0.14393     0.99385     1228     1228
-0.0475      0.09539       0.1429      0.02495    0.1685    0.14355     0.99543     1228     1228
-0.0475      0.09577       0.14328      0.02495    0.16796    0.14302     1.00181     1228     1228
-0.0475      0.09547       0.14297      0.02495    0.1685    0.14355     0.99596     1228     1228
-0.0475      0.09562       0.14312      0.02495    0.16888    0.14393     0.99438     1228     1228
