  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.04763      -0.26404       -0.21641      0.02668    0.22642    0.19974     -1.08344     518     355
-0.04763      -0.43987       -0.39224      0.02668    0.43994    0.41327     -0.94911     1686     3950
-0.04763      -0.04876       -0.00113      0.02668    0.02824    0.00156     -0.72616     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02648    -0.00019     -2.41176     1245     1243
-0.04763      -0.04686       0.00077      0.02668    0.0264    -0.00027     -2.85915     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02679    0.00011     4.93103     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02694    0.00026     1.78261     1245     1243
-0.04763      -0.0477       -6e-05      0.02668    0.0264    -0.00027     0.23944     1245     1243
-0.04763      -0.04747       0.00016      0.02668    0.02648    -0.00019     -0.84314     1245     1243
-0.04763      -0.04693       0.0007      0.02668    0.02648    -0.00019     -3.58824     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02656    -0.00012     -4.6129     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02701    0.00034     1.38202     1245     1243
-0.04763      -0.04762       1e-05      0.02668    0.02663    -4e-05     -0.27273     1245     1243
-0.04763      -0.04762       1e-05      0.02668    0.02656    -0.00012     -0.09677     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02663    -4e-05     -13.0     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02656    -0.00012     -4.6129     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.0264    -0.00027     -1.73239     1245     1243
-0.04763      -0.04701       0.00062      0.02668    0.02686    0.00019     3.32653     1245     1243
-0.04763      -0.04762       1e-05      0.02668    0.02656    -0.00012     -0.09677     1245     1243
-0.04763      -0.04739       0.00024      0.02668    0.02694    0.00026     0.91304     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.0264    -0.00027     -1.4507     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02671    3e-05     9.22222     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02656    -0.00012     -2.67742     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02679    0.00011     4.24138     1245     1243
-0.04763      -0.0477       -6e-05      0.02668    0.02663    -4e-05     1.54545     1245     1243
-0.04763      -0.04754       9e-05      0.02668    0.02663    -4e-05     -2.09091     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02656    -0.00012     -3.96774     1245     1243
-0.04763      -0.04747       0.00016      0.02668    0.02663    -4e-05     -3.90909     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02694    0.00026     1.49275     1245     1243
-0.04763      -0.04701       0.00062      0.02668    0.02679    0.00011     5.62069     1245     1243
-0.04763      -0.04785       -0.00022      0.02668    0.0264    -0.00027     0.80282     1245     1243
-0.04763      -0.04754       9e-05      0.02668    0.02679    0.00011     0.7931     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02648    -0.00019     -2.41176     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02633    -0.00035     -1.57143     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02625    -0.00042     -0.74775     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02694    0.00026     1.2029     1245     1243
-0.04763      -0.04785       -0.00022      0.02668    0.02747    0.0008     -0.27273     1245     1243
-0.04763      -0.04762       1e-05      0.02668    0.02625    -0.00042     -0.02703     1245     1243
-0.04763      -0.04693       0.0007      0.02668    0.0264    -0.00027     -2.57746     1245     1243
-0.04763      -0.04693       0.0007      0.02668    0.0264    -0.00027     -2.57746     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02663    -4e-05     -11.18182     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02679    0.00011     4.24138     1245     1243
-0.04763      -0.0477       -6e-05      0.02668    0.02656    -0.00012     0.54839     1245     1243
-0.04763      -0.04739       0.00024      0.02668    0.02663    -4e-05     -5.72727     1245     1243
-0.04763      -0.04693       0.0007      0.02668    0.02671    3e-05     20.33333     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02656    -0.00012     -3.96774     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02633    -0.00035     -1.13187     1245     1243
-0.04763      -0.04701       0.00062      0.02668    0.02633    -0.00035     -1.79121     1245     1243
-0.04763      -0.04754       9e-05      0.02668    0.02656    -0.00012     -0.74194     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02625    -0.00042     -0.74775     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02671    3e-05     15.88889     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02671    3e-05     9.22222     1245     1243
-0.04763      -0.04731       0.00032      0.02668    0.02671    3e-05     9.22222     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02648    -0.00019     -2.01961     1245     1243
-0.04763      -0.04777       -0.00014      0.02668    0.0264    -0.00027     0.52113     1245     1243
-0.04763      -0.04747       0.00016      0.02668    0.0264    -0.00027     -0.60563     1245     1243
-0.04763      -0.04693       0.0007      0.02668    0.02686    0.00019     3.73469     1245     1243
-0.04763      -0.04686       0.00077      0.02668    0.02671    3e-05     22.55556     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02671    3e-05     11.44444     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02648    -0.00019     -2.80392     1245     1243
-0.04763      -0.04754       9e-05      0.02668    0.02686    0.00019     0.46939     1245     1243
-0.04763      -0.04785       -0.00022      0.02668    0.02679    0.00011     -1.96552     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02663    -4e-05     -9.36364     1245     1243
-0.04763      -0.04708       0.00055      0.02668    0.02701    0.00034     1.60674     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02633    -0.00035     -1.35165     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02663    -4e-05     -9.36364     1245     1243
-0.04763      -0.0477       -6e-05      0.02668    0.02701    0.00034     -0.19101     1245     1243
-0.04763      -0.04739       0.00024      0.02668    0.02648    -0.00019     -1.23529     1245     1243
-0.04763      -0.04716       0.00047      0.02668    0.02686    0.00019     2.5102     1245     1243
-0.04763      -0.04739       0.00024      0.02668    0.02686    0.00019     1.28571     1245     1243
-0.04763      -0.04739       0.00024      0.02668    0.02686    0.00019     1.28571     1245     1243
-0.04763      -0.04724       0.00039      0.02668    0.02648    -0.00019     -2.01961     1245     1243
-0.04763      -0.04777       -0.00014      0.02668    0.02671    3e-05     -4.11111     1245     1243
