  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.35943       0.26923
-0.28045       0.23748
-0.27976       0.23756
-0.29151       0.23718
-0.29121       0.23748
-0.29113       0.23771
-0.29167       0.23748
-0.27885       0.22909
-0.27991       0.23748
-0.29174       0.23703
-0.26587       0.23741
-0.28007       0.23726
-0.2803       0.23741
-0.26603       0.2371
-0.26595       0.23726
-0.26648       0.23726
-0.26587       0.23726
-0.2661       0.23733
-0.28053       0.23756
-0.26648       0.22894
  ----------------------------------------------------------
 Vzero = -0.28197       Izero = 0.23813
  ---------------------------------------------------------- 
