  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03192      -0.26404       -0.23212      0.02514    0.22642    0.20127     -1.15327     518     355
-0.03192      -0.43987       -0.40795      0.02514    0.43994    0.4148     -0.98349     1686     3950
-0.03192      -0.03472       -0.0028      0.02514    0.02732    0.00217     -1.28947     1229     1228
-0.03192      -0.03213       -0.00021      0.02514    0.0248    -0.00034     0.61111     1229     1228
-0.03192      -0.03159       0.00032      0.02514    0.02511    -4e-05     -8.5     1229     1228
-0.03192      -0.03144       0.00048      0.02514    0.02534    0.00019     2.5     1229     1228
-0.03192      -0.03121       0.00071      0.02514    0.02473    -0.00042     -1.68182     1229     1228
-0.03192      -0.03152       0.0004      0.02514    0.02518    4e-05     10.5     1229     1228
-0.03192      -0.03136       0.00055      0.02514    0.02534    0.00019     2.9     1229     1228
-0.03192      -0.03152       0.0004      0.02514    0.02541    0.00027     1.5     1229     1228
-0.03192      -0.03167       0.00025      0.02514    0.02442    -0.00072     -0.34211     1229     1228
-0.03192      -0.03152       0.0004      0.02514    0.02511    -4e-05     -10.5     1229     1228
-0.03192      -0.03205       -0.00013      0.02514    0.02503    -0.00011     1.16667     1229     1228
-0.03192      -0.03152       0.0004      0.02514    0.02495    -0.00019     -2.1     1229     1228
-0.03192      -0.03213       -0.00021      0.02514    0.02534    0.00019     -1.1     1230     1228
-0.03192      -0.03182       0.0001      0.02514    0.02564    0.0005     0.19231     1230     1228
-0.03192      -0.03136       0.00055      0.02514    0.02534    0.00019     2.9     1230     1228
-0.03192      -0.03129       0.00063      0.02514    0.02503    -0.00011     -5.5     1230     1228
-0.03192      -0.03159       0.00032      0.02514    0.02404    -0.00111     -0.2931     1230     1228
-0.03192      -0.03136       0.00055      0.02514    0.02541    0.00027     2.07143     1230     1228
-0.03192      -0.03159       0.00032      0.02514    0.02465    -0.0005     -0.65385     1230     1228
-0.03192      -0.03152       0.0004      0.02514    0.02503    -0.00011     -3.5     1230     1228
-0.03192      -0.03213       -0.00021      0.02514    0.0248    -0.00034     0.61111     1230     1228
-0.03192      -0.03167       0.00025      0.02514    0.02503    -0.00011     -2.16667     1230     1228
-0.03192      -0.03197       -6e-05      0.02514    0.02526    0.00011     -0.5     1230     1228
-0.03192      -0.03167       0.00025      0.02514    0.02541    0.00027     0.92857     1230     1228
-0.03192      -0.03197       -6e-05      0.02514    0.02503    -0.00011     0.5     1230     1228
-0.03192      -0.03144       0.00048      0.02514    0.02488    -0.00027     -1.78571     1230     1228
-0.03192      -0.03136       0.00055      0.02514    0.0245    -0.00065     -0.85294     1230     1228
-0.03192      -0.03175       0.00017      0.02514    0.0248    -0.00034     -0.5     1230     1228
-0.03192      -0.03159       0.00032      0.02514    0.02526    0.00011     2.83333     1230     1228
-0.03192      -0.03159       0.00032      0.02514    0.02488    -0.00027     -1.21429     1230     1228
-0.03192      -0.03213       -0.00021      0.02514    0.02511    -4e-05     5.5     1230     1228
