  ---------- Measurements R0 at 100.0 [mA]  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
-0.03122      -0.03358       -0.00236      0.02506    0.02701    0.00195     -1.21135     1199     1197
-0.03122      -0.03091       0.00031      0.02506    0.02534    0.00027     1.14085     1199     1197
-0.03122      -0.03114       8e-05      0.02506    0.02503    -3e-05     -2.33333     1199     1197
-0.03122      -0.03106       0.00016      0.02506    0.02465    -0.00042     -0.37615     1199     1197
-0.03122      -0.03098       0.00023      0.02506    0.02503    -3e-05     -6.77778     1199     1197
-0.03122      -0.03144       -0.00023      0.02506    0.02503    -3e-05     6.55556     1199     1197
-0.03122      -0.03121       0.0      0.02506    0.02473    -0.00034     -0.01124     1199     1197
-0.03122      -0.03144       -0.00023      0.02506    0.02473    -0.00034     0.66292     1199     1197
-0.03122      -0.02984       0.00138      0.02506    0.02564    0.00058     2.39073     1199     1197
-0.03122      0.00832       0.03953      0.02506    0.03236    0.00729     5.42177     1199     1197
-0.03122      0.0319       0.06311      0.02506    0.04785    0.02278     2.77022     1199     1197
-0.03122      0.08394       0.11516      0.02506    0.08318    0.05812     1.98155     1199     1197
-0.03122      0.11973       0.15095      0.02506    0.10813    0.08307     1.81714     1199     1197
-0.03122      0.13118       0.1624      0.02506    0.11569    0.09062     1.79197     1199     1197
-0.03122      0.13431       0.16553      0.02506    0.1179    0.09284     1.78295     1199     1197
-0.03122      0.1353       0.16652      0.02506    0.11836    0.0933     1.78483     1199     1197
-0.03122      0.13568       0.1669      0.02506    0.11813    0.09307     1.79333     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11935    0.09429     1.77172     1199     1197
-0.03122      0.13576       0.16698      0.02506    0.11889    0.09383     1.77955     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11867    0.0936     1.78472     1199     1197
-0.03122      0.13576       0.16698      0.02506    0.11951    0.09444     1.76805     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11874    0.09368     1.78327     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11928    0.09421     1.7764     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11951    0.09444     1.76886     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11851    0.09345     1.7909     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11836    0.0933     1.79138     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11943    0.09436     1.77029     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11828    0.09322     1.7953     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.1192    0.09414     1.77703     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11943    0.09436     1.77514     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11912    0.09406     1.77847     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11912    0.09406     1.77766     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11889    0.09383     1.78037     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11889    0.09383     1.78525     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11928    0.09421     1.77721     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11943    0.09436     1.77191     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11935    0.09429     1.77415     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11935    0.09429     1.77577     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11935    0.09429     1.77253     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11889    0.09383     1.78362     1199     1197
-0.03122      0.13637       0.16759      0.02506    0.11951    0.09444     1.77451     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11928    0.09421     1.77559     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11928    0.09421     1.7764     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11905    0.09398     1.77829     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.1192    0.09414     1.77784     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11935    0.09429     1.77577     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11828    0.09322     1.79448     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11882    0.09375     1.78426     1199     1197
-0.03122      0.13584       0.16705      0.02506    0.11851    0.09345     1.78764     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11874    0.09368     1.7849     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11928    0.09421     1.77721     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11859    0.09352     1.78863     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11935    0.09429     1.77415     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11958    0.09452     1.76824     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11859    0.09352     1.78944     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11897    0.09391     1.77973     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11844    0.09337     1.79318     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11867    0.0936     1.78717     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11867    0.0936     1.7888     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11935    0.09429     1.77577     1199     1197
-0.03122      0.13637       0.16759      0.02506    0.11851    0.09345     1.79335     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11867    0.0936     1.78961     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11912    0.09406     1.77928     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11905    0.09398     1.77991     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11935    0.09429     1.77577     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11912    0.09406     1.78009     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11943    0.09436     1.77433     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11905    0.09398     1.77991     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11905    0.09398     1.7791     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11966    0.09459     1.77004     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11867    0.0936     1.78961     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11889    0.09383     1.78443     1199     1197
-0.03122      0.13591       0.16713      0.02506    0.11882    0.09375     1.78263     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11905    0.09398     1.78235     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.1192    0.09414     1.77784     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.1192    0.09414     1.77784     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11943    0.09436     1.77514     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11935    0.09429     1.77658     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11912    0.09406     1.77847     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11928    0.09421     1.77478     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11935    0.09429     1.77415     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11867    0.0936     1.78635     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11867    0.0936     1.78798     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.1192    0.09414     1.77784     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11828    0.09322     1.79612     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11958    0.09452     1.77147     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11889    0.09383     1.78525     1199     1197
-0.03122      0.13629       0.16751      0.02506    0.11874    0.09368     1.78816     1199     1197
-0.03122      0.13637       0.16759      0.02506    0.11889    0.09383     1.78606     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.1192    0.09414     1.77865     1199     1197
-0.03122      0.13599       0.1672      0.02506    0.11935    0.09429     1.77334     1199     1197
-0.03122      0.13637       0.16759      0.02506    0.11806    0.09299     1.80218     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11935    0.09429     1.77496     1199     1197
-0.03122      0.13614       0.16736      0.02506    0.11889    0.09383     1.78362     1199     1197
-0.03122      0.13652       0.16774      0.02506    0.11844    0.09337     1.79645     1199     1197
-0.03122      0.13607       0.16728      0.02506    0.11882    0.09375     1.78426     1199     1197
-0.03122      0.13622       0.16743      0.02506    0.11943    0.09436     1.77433     1199     1197
