  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.03175       0.02908
-0.03213       0.02778
-0.03136       0.02763
-0.03144       0.02785
-0.03197       0.02763
-0.03175       0.0274
-0.03152       0.02755
-0.0319       0.02785
-0.03213       0.02793
-0.03136       0.02778
-0.03144       0.0277
-0.03152       0.02724
-0.03197       0.02701
-0.0322       0.02801
-0.03175       0.0277
-0.03205       0.02778
-0.03213       0.02778
-0.03129       0.02671
-0.03205       0.02785
-0.03205       0.02763
  ----------------------------------------------------------
 Vzero = -0.03179       Izero = 0.02769
  ---------------------------------------------------------- 
