  ---------- ADC Measurements at Zero Voltage.   ---------- 
      V [V]       I [mA]     
-0.03091       0.0235
-0.03083       0.02289
-0.03068       0.02305
-0.03037       0.0232
-0.03045       0.02289
-0.03068       0.02335
-0.0303       0.02335
-0.03053       0.02366
-0.03083       0.02343
-0.03037       0.02343
-0.03014       0.02305
-0.03083       0.02328
-0.03037       0.02305
-0.0303       0.0235
-0.03075       0.02328
-0.0303       0.0232
-0.03045       0.02404
-0.03098       0.02312
-0.03037       0.02343
-0.0303       0.02312
  ----------------------------------------------------------
 Vzero = -0.03054       Izero = 0.02329
  ---------------------------------------------------------- 
