  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.01275      -0.26404       -0.27679      -0.01947    0.22642    0.24589     -1.1257     518     355
0.01275      -0.01221       -0.02496      -0.01947    2.24603    2.2655     -0.01102     2036     1363
0.01275      -0.01397       -0.02672      -0.01947    0.01374    0.0332     -0.80466     1338     1347
0.01275      -0.01397       -0.02672      -0.01947    0.00847    0.02794     -0.95632     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.00939    0.02885     -0.92068     1338     1347
0.01275      -0.01328       -0.02603      -0.01947    0.01145    0.03091     -0.84204     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.01267    0.03213     -0.82666     1338     1347
0.01275      -0.01374       -0.02649      -0.01947    -0.00183    0.01764     -1.50201     1338     1347
0.01275      -0.01374       -0.02649      -0.01947    -0.00183    0.01764     -1.50201     1338     1347
0.01275      -0.01366       -0.02641      -0.01947    -0.00237    0.0171     -1.54447     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.01335    0.03282     -0.80937     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.009    0.02847     -0.93302     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.00893    0.0284     -0.93553     1338     1347
0.01275      -0.01458       -0.02733      -0.01947    0.01313    0.03259     -0.83846     1338     1347
0.01275      -0.01374       -0.02649      -0.01947    -0.00099    0.01847     -1.43376     1338     1347
0.01275      -0.01351       -0.02626      -0.01947    -0.00183    0.01764     -1.48903     1338     1347
0.01275      -0.01374       -0.02649      -0.01947    -0.00298    0.01649     -1.60628     1338     1347
0.01275      -0.01397       -0.02672      -0.01947    0.00351    0.02298     -1.16278     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    -0.00137    0.01809     -1.46822     1338     1347
0.01275      -0.01404       -0.02679      -0.01947    0.00229    0.02176     -1.23154     1338     1347
0.01275      -0.01351       -0.02626      -0.01947    0.01168    0.03114     -0.8432     1338     1347
0.01275      -0.01412       -0.02687      -0.01947    0.01137    0.03084     -0.87134     1338     1347
0.01275      -0.01366       -0.02641      -0.01947    -0.00153    0.01794     -1.4722     1338     1347
0.01275      -0.01335       -0.02611      -0.01947    -0.00206    0.01741     -1.49985     1338     1347
0.01275      -0.01412       -0.02687      -0.01947    0.009    0.02847     -0.94374     1338     1347
0.01275      -0.01358       -0.02634      -0.01947    0.00099    0.02046     -1.28725     1338     1347
0.01275      -0.01343       -0.02618      -0.01947    -0.00183    0.01764     -1.4847     1338     1347
0.01275      -0.01313       -0.02588      -0.01947    -0.00214    0.01733     -1.49324     1338     1347
0.01275      -0.01366       -0.02641      -0.01947    -0.00229    0.01718     -1.53761     1338     1347
0.01275      -0.01366       -0.02641      -0.01947    -0.00198    0.01748     -1.51076     1338     1347
0.01275      -0.01397       -0.02672      -0.01947    0.01335    0.03282     -0.81402     1338     1347
0.01275      -0.01343       -0.02618      -0.01947    -0.00244    0.01702     -1.53794     1338     1347
0.01275      -0.01366       -0.02641      -0.01947    0.00259    0.02206     -1.19721     1338     1347
0.01275      -0.01335       -0.02611      -0.01947    -0.00114    0.01832     -1.42488     1338     1347
0.01275      -0.01381       -0.02656      -0.01947    0.01137    0.03084     -0.86144     1338     1347
