  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.00485      -0.26404       -0.26889      -0.01929    0.22642    0.24571     -1.09435     518     355
0.00485      -0.01374       -0.01858      -0.01929    -0.00305    0.01623     -1.1447     1277     1286
0.00485      -0.01389       -0.01873      -0.01929    -0.00389    0.01539     -1.21703     1277     1286
0.00485      -0.01358       -0.01843      -0.01929    -0.00298    0.01631     -1.12998     1277     1286
0.00485      -0.01343       -0.01828      -0.01929    -0.00313    0.01616     -1.13121     1277     1286
0.00485      -0.0132       -0.01805      -0.01929    -0.00366    0.01562     -1.15524     1277     1286
0.00485      -0.01351       -0.01835      -0.01929    -0.00404    0.01524     -1.20419     1277     1286
0.00485      -0.01328       -0.01812      -0.01929    -0.00397    0.01532     -1.18324     1277     1286
0.00485      -0.0132       -0.01805      -0.01929    -0.00366    0.01562     -1.15524     1277     1286
0.00485      -0.01328       -0.01812      -0.01929    -0.00343    0.01585     -1.14337     1277     1286
0.00485      -0.01351       -0.01835      -0.01929    -0.00382    0.01547     -1.18637     1277     1286
0.00485      -0.01366       -0.01851      -0.01929    -0.00382    0.01547     -1.19623     1277     1286
0.00485      -0.01343       -0.01828      -0.01929    -0.00359    0.0157     -1.1642     1277     1286
0.00485      -0.01335       -0.0182      -0.01929    -0.00374    0.01555     -1.17072     1277     1286
0.00485      -0.01351       -0.01835      -0.01929    -0.00443    0.01486     -1.23511     1277     1286
0.00485      -0.01328       -0.01812      -0.01929    -0.0042    0.01509     -1.20119     1277     1286
0.00485      -0.01366       -0.01851      -0.01929    -0.0042    0.01509     -1.22648     1277     1286
0.00485      -0.01374       -0.01858      -0.01929    -0.00359    0.0157     -1.18365     1277     1286
0.00485      -0.01404       -0.01889      -0.01929    -0.00412    0.01516     -1.24547     1277     1286
0.00485      -0.01313       -0.01797      -0.01929    -0.00343    0.01585     -1.13374     1277     1286
0.00485      -0.01335       -0.0182      -0.01929    -0.00466    0.01463     -1.244     1277     1286
0.00485      -0.01366       -0.01851      -0.01929    -0.00481    0.01448     -1.2782     1277     1286
0.00485      -0.01351       -0.01835      -0.01929    -0.00404    0.01524     -1.20419     1277     1286
0.00485      -0.01343       -0.01828      -0.01929    -0.00435    0.01494     -1.22369     1277     1286
