  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.0018      -0.26404       -0.26584      -0.01926    0.22642    0.24568     -1.08205     518     355
0.0018      -0.01366       -0.01546      -0.01926    -0.00679    0.01247     -1.23961     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00672    0.01255     -1.20167     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00725    0.01201     -1.27415     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00702    0.01224     -1.23163     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00694    0.01232     -1.23019     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00687    0.0124     -1.21646     1264     1271
0.0018      -0.01366       -0.01546      -0.01926    -0.00733    0.01194     -1.29508     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00595    0.01331     -1.12704     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00694    0.01232     -1.2178     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00778    0.01148     -1.33344     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00626    0.01301     -1.18283     1264     1271
0.0018      -0.01366       -0.01546      -0.01926    -0.00725    0.01201     -1.28686     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00733    0.01194     -1.28869     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00733    0.01194     -1.25673     1264     1271
0.0018      -0.01381       -0.01561      -0.01926    -0.00626    0.01301     -1.20043     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00633    0.01293     -1.17801     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00687    0.0124     -1.22262     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00641    0.01285     -1.19094     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00763    0.01163     -1.29627     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00633    0.01293     -1.17211     1264     1271
0.0018      -0.01305       -0.01485      -0.01926    -0.00748    0.01178     -1.26005     1264     1271
0.0018      -0.01381       -0.01561      -0.01926    -0.00733    0.01194     -1.30787     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00664    0.01262     -1.1944     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00694    0.01232     -1.2178     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.0071    0.01217     -1.2519     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00702    0.01224     -1.22539     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00633    0.01293     -1.17801     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00763    0.01163     -1.28971     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00687    0.0124     -1.23493     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00725    0.01201     -1.28051     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.0071    0.01217     -1.24563     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.0074    0.01186     -1.27125     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00679    0.01247     -1.21514     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.0071    0.01217     -1.23935     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00679    0.01247     -1.22738     1264     1271
0.0018      -0.01374       -0.01554      -0.01926    -0.00702    0.01224     -1.26903     1264     1271
0.0018      -0.01305       -0.01485      -0.01926    -0.00771    0.01156     -1.28502     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00801    0.01125     -1.34023     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00694    0.01232     -1.24258     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00664    0.01262     -1.21858     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00679    0.01247     -1.21514     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00649    0.01278     -1.19805     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00694    0.01232     -1.23639     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00748    0.01178     -1.29891     1264     1271
0.0018      -0.01374       -0.01554      -0.01926    -0.00649    0.01278     -1.21597     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00694    0.01232     -1.23639     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00664    0.01262     -1.20045     1264     1271
0.0018      -0.0132       -0.015      -0.01926    -0.00694    0.01232     -1.2178     1264     1271
0.0018      -0.01366       -0.01546      -0.01926    -0.0071    0.01217     -1.27071     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00748    0.01178     -1.28595     1264     1271
0.0018      -0.01328       -0.01508      -0.01926    -0.00633    0.01293     -1.1662     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00702    0.01224     -1.24409     1264     1271
0.0018      -0.01313       -0.01493      -0.01926    -0.00694    0.01232     -1.21161     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00725    0.01201     -1.27415     1264     1271
0.0018      -0.01305       -0.01485      -0.01926    -0.00687    0.0124     -1.19799     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00656    0.0127     -1.19323     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00679    0.01247     -1.22738     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00733    0.01194     -1.2823     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.00626    0.01301     -1.16523     1264     1271
0.0018      -0.01335       -0.01515      -0.01926    -0.0071    0.01217     -1.24563     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00717    0.01209     -1.26611     1264     1271
0.0018      -0.01374       -0.01554      -0.01926    -0.00733    0.01194     -1.30148     1264     1271
0.0018      -0.01366       -0.01546      -0.01926    -0.00633    0.01293     -1.19572     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00725    0.01201     -1.28051     1264     1271
0.0018      -0.01313       -0.01493      -0.01926    -0.00664    0.01262     -1.18231     1264     1271
0.0018      -0.01343       -0.01523      -0.01926    -0.00679    0.01247     -1.22126     1264     1271
0.0018      -0.01374       -0.01554      -0.01926    -0.00641    0.01285     -1.20875     1264     1271
0.0018      -0.01351       -0.01531      -0.01926    -0.00733    0.01194     -1.2823     1264     1271
0.0018      -0.01358       -0.01538      -0.01926    -0.00733    0.01194     -1.28869     1264     1271
