  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.00421      -0.26404       -0.26825      -0.01938    0.22642    0.2458     -1.09134     518     355
0.00421      -0.01366       -0.01787      -0.01938    -0.00458    0.0148     -1.20723     1284     1293
0.00421      -0.01313       -0.01734      -0.01938    -0.00435    0.01503     -1.15331     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00458    0.0148     -1.20207     1284     1293
0.00421      -0.01328       -0.01749      -0.01938    -0.00542    0.01396     -1.25247     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00481    0.01457     -1.23143     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00496    0.01442     -1.23917     1284     1293
0.00421      -0.01335       -0.01757      -0.01938    -0.00458    0.0148     -1.18661     1284     1293
0.00421      -0.01305       -0.01726      -0.01938    -0.00427    0.01511     -1.14243     1284     1293
0.00421      -0.01389       -0.0181      -0.01938    -0.00473    0.01465     -1.23543     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00511    0.01427     -1.24172     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00466    0.01473     -1.21348     1284     1293
0.00421      -0.01343       -0.01764      -0.01938    -0.00527    0.01412     -1.24974     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.0042    0.01519     -1.17689     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.0045    0.01488     -1.19591     1284     1293
0.00421      -0.01389       -0.0181      -0.01938    -0.00389    0.01549     -1.16848     1284     1293
0.00421      -0.01381       -0.01802      -0.01938    -0.00389    0.01549     -1.16355     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00466    0.01473     -1.2083     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.0045    0.01488     -1.19591     1284     1293
0.00421      -0.01297       -0.01718      -0.01938    -0.00389    0.01549     -1.10936     1284     1293
0.00421      -0.01343       -0.01764      -0.01938    -0.00488    0.0145     -1.21685     1284     1293
0.00421      -0.01328       -0.01749      -0.01938    -0.00473    0.01465     -1.19376     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00496    0.01442     -1.24446     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00481    0.01457     -1.22095     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00473    0.01465     -1.21459     1284     1293
0.00421      -0.01335       -0.01757      -0.01938    -0.00527    0.01412     -1.24434     1284     1293
0.00421      -0.01343       -0.01764      -0.01938    -0.00488    0.0145     -1.21685     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00496    0.01442     -1.22858     1284     1293
0.00421      -0.01335       -0.01757      -0.01938    -0.0045    0.01488     -1.18052     1284     1293
0.00421      -0.01328       -0.01749      -0.01938    -0.00519    0.01419     -1.23227     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00427    0.01511     -1.17274     1284     1293
0.00421      -0.01404       -0.01825      -0.01938    -0.00397    0.01541     -1.18417     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00481    0.01457     -1.21572     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00527    0.01412     -1.27137     1284     1293
0.00421      -0.01381       -0.01802      -0.01938    -0.00397    0.01541     -1.16932     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00374    0.01564     -1.14732     1284     1293
0.00421      -0.01381       -0.01802      -0.01938    -0.00496    0.01442     -1.24975     1284     1293
0.00421      -0.01335       -0.01757      -0.01938    -0.00481    0.01457     -1.20525     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00351    0.01587     -1.13078     1284     1293
0.00421      -0.01335       -0.01757      -0.01938    -0.0045    0.01488     -1.18052     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00481    0.01457     -1.21572     1284     1293
0.00421      -0.0132       -0.01741      -0.01938    -0.00488    0.0145     -1.20106     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00389    0.01549     -1.14878     1284     1293
0.00421      -0.01389       -0.0181      -0.01938    -0.00496    0.01442     -1.25504     1284     1293
0.00421      -0.0132       -0.01741      -0.01938    -0.00504    0.01435     -1.21384     1284     1293
0.00421      -0.01343       -0.01764      -0.01938    -0.00511    0.01427     -1.23638     1284     1293
0.00421      -0.0132       -0.01741      -0.01938    -0.00504    0.01435     -1.21384     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00534    0.01404     -1.26197     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00511    0.01427     -1.25242     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00458    0.0148     -1.21238     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00488    0.0145     -1.22738     1284     1293
0.00421      -0.01381       -0.01802      -0.01938    -0.00488    0.0145     -1.24317     1284     1293
0.00421      -0.01328       -0.01749      -0.01938    -0.00397    0.01541     -1.13466     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00504    0.01435     -1.25108     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00466    0.01473     -1.21348     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00412    0.01526     -1.17101     1284     1293
0.00421      -0.01381       -0.01802      -0.01938    -0.00466    0.01473     -1.22385     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00382    0.01557     -1.14805     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.00389    0.01549     -1.14385     1284     1293
0.00421      -0.01343       -0.01764      -0.01938    -0.00458    0.0148     -1.19176     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00511    0.01427     -1.25777     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00473    0.01465     -1.21459     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00534    0.01404     -1.26741     1284     1293
0.00421      -0.01351       -0.01772      -0.01938    -0.0045    0.01488     -1.19078     1284     1293
0.00421      -0.01374       -0.01795      -0.01938    -0.00504    0.01435     -1.25108     1284     1293
0.00421      -0.01328       -0.01749      -0.01938    -0.00481    0.01457     -1.20001     1284     1293
0.00421      -0.01358       -0.0178      -0.01938    -0.00481    0.01457     -1.22095     1284     1293
0.00421      -0.01366       -0.01787      -0.01938    -0.00435    0.01503     -1.18884     1284     1293
