  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.0035      -0.26404       -0.26754      -0.01923    0.22642    0.24565     -1.0891     518     355
0.0035      -0.01404       -0.01754      -0.01923    -0.00496    0.01427     -1.22885     1267     1275
0.0035      -0.01328       -0.01678      -0.01923    -0.00588    0.01336     -1.25597     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00565    0.01359     -1.25166     1267     1275
0.0035      -0.01374       -0.01723      -0.01923    -0.00534    0.01389     -1.24063     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00588    0.01336     -1.27311     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.0058    0.01343     -1.23747     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00504    0.0142     -1.19783     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.00565    0.01359     -1.22357     1267     1275
0.0035      -0.01374       -0.01723      -0.01923    -0.0058    0.01343     -1.28292     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00481    0.01442     -1.17882     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00527    0.01397     -1.20653     1267     1275
0.0035      -0.01328       -0.01678      -0.01923    -0.00656    0.01267     -1.32406     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00504    0.0142     -1.19783     1267     1275
0.0035      -0.0132       -0.0167      -0.01923    -0.00481    0.01442     -1.15766     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00397    0.01526     -1.10899     1267     1275
0.0035      -0.01374       -0.01723      -0.01923    -0.00488    0.01435     -1.20104     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00481    0.01442     -1.17353     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00534    0.01389     -1.22415     1267     1275
0.0035      -0.01358       -0.01708      -0.01923    -0.00473    0.0145     -1.17788     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.0058    0.01343     -1.25452     1267     1275
0.0035      -0.0132       -0.0167      -0.01923    -0.00565    0.01359     -1.22919     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00534    0.01389     -1.22415     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00565    0.01359     -1.25166     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00557    0.01366     -1.24467     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00603    0.0132     -1.28783     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.0058    0.01343     -1.25452     1267     1275
0.0035      -0.01328       -0.01678      -0.01923    -0.00527    0.01397     -1.20107     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00557    0.01366     -1.23908     1267     1275
0.0035      -0.01358       -0.01708      -0.01923    -0.00626    0.01297     -1.31643     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.00557    0.01366     -1.21674     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.0058    0.01343     -1.26588     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00488    0.01435     -1.17977     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00511    0.01412     -1.19349     1267     1275
0.0035      -0.01297       -0.01647      -0.01923    -0.00504    0.0142     -1.1602     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00534    0.01389     -1.22415     1267     1275
0.0035      -0.01366       -0.01716      -0.01923    -0.00389    0.01534     -1.1184     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00542    0.01381     -1.23091     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.00527    0.01397     -1.19014     1267     1275
0.0035      -0.0132       -0.0167      -0.01923    -0.00572    0.01351     -1.23613     1267     1275
0.0035      -0.01305       -0.01655      -0.01923    -0.00618    0.01305     -1.2678     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00633    0.0129     -1.31239     1267     1275
0.0035      -0.01358       -0.01708      -0.01923    -0.00504    0.0142     -1.2032     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00488    0.01435     -1.17445     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00488    0.01435     -1.17977     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00496    0.01427     -1.19142     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00488    0.01435     -1.18509     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.00542    0.01381     -1.20329     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00557    0.01366     -1.23349     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00565    0.01359     -1.24042     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.00511    0.01412     -1.1989     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00611    0.01313     -1.28369     1267     1275
0.0035      -0.01358       -0.01708      -0.01923    -0.00588    0.01336     -1.27883     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00527    0.01397     -1.20653     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00481    0.01442     -1.17882     1267     1275
0.0035      -0.01328       -0.01678      -0.01923    -0.00557    0.01366     -1.22791     1267     1275
0.0035      -0.01313       -0.01662      -0.01923    -0.00534    0.01389     -1.19668     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00488    0.01435     -1.17445     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00565    0.01359     -1.24042     1267     1275
0.0035      -0.01343       -0.01693      -0.01923    -0.0058    0.01343     -1.2602     1267     1275
0.0035      -0.01374       -0.01723      -0.01923    -0.00542    0.01381     -1.24749     1267     1275
0.0035      -0.01358       -0.01708      -0.01923    -0.00488    0.01435     -1.19041     1267     1275
0.0035      -0.01335       -0.01685      -0.01923    -0.00519    0.01404     -1.19998     1267     1275
0.0035      -0.01351       -0.017      -0.01923    -0.00687    0.01236     -1.37526     1267     1275
