   FileName     Av_I     Std_I      Av_V        Std_V       Av_R       Std_R     CalCircuit_I      CalCircuit_V
-------------------------------------------------------------------------------------------------------------------
RMeas10	0.02085	0.00068	0.03409	0.00038	1.63633	0.04598	1	1
RMeas30	0.05761	0.00064	0.07024	0.0007	1.2193	0.00967	1	1
RMeas50	0.09384	0.00095	0.10681	0.00074	1.13828	0.00712	1	1
RMeas70	0.13071	0.00095	0.14444	0.00081	1.1051	0.0047	1	1
RMeas90	0.16615	0.00102	0.18288	0.00092	1.10072	0.00369	1	1
RMeas110	0.2027	0.00098	0.21881	0.00095	1.07949	0.00281	1	1
RMeas130	0.23435	0.00102	0.27175	0.00101	1.15959	0.00267	1	1
RMeas150	0.27076	0.00102	0.31721	0.00098	1.17157	0.00227	1	1
RMeas170	0.30621	0.00101	0.36646	0.00098	1.19675	0.00216	1	1
RMeas190	0.34229	0.0009	0.4193	0.00079	1.22497	0.0021	1	1
RMeas210	0.377	0.00109	0.4755	0.00121	1.26129	0.00194	1	1
RMeas220	0.39466	0.00108	0.50623	0.00123	1.2827	0.00187	1	1
RMeas230	0.4126	0.00103	0.53887	0.00122	1.30602	0.00186	1	1
RMeas250	0.44847	0.00099	0.60799	0.00124	1.3557	0.00179	1	1
RMeas270	0.48456	0.00101	0.68411	0.00132	1.41182	0.0019	1	1
RMeas290	0.52086	0.00097	0.77049	0.00131	1.47927	0.00185	1	1
RMeas310	0.5564	0.00098	0.86596	0.00147	1.55638	0.00212	1	1
RMeas330	0.59221	0.00096	0.97322	0.00149	1.64336	0.00207	1	1
RMeas350	0.62784	0.00091	1.09586	0.00131	1.74543	0.0019	1	1
RMeas370	0.66167	0.00094	1.23105	0.00143	1.8605	0.00174	1	1
RMeas390	0.38971	0.00053	0.62519	0.00071	1.60425	0.00134	0	0
RMeas410	0.41274	0.0005	0.74357	0.00076	1.80156	0.00136	0	0
RMeas430	0.42912	0.00053	0.81019	0.00083	1.88803	0.00143	0	0
RMeas450	0.45023	0.00052	0.94483	0.00088	2.09857	0.00156	0	0
RMeas470	0.47309	0.00052	1.11319	0.00095	2.353	0.00169	0	0
RMeas490	0.50035	0.00041	1.42524	0.00067	2.84846	0.0019	0	0
