  ---------- Measurements R  ---------- 
      Vzero [V]    Vmeas [V]    V [V]    Izero[mA]     Imeas [mA]      I [mA]         R0 [Ohm]      T1[Np]      T2[Np]  
0.0106      -0.26404       -0.27464      -0.01967    0.22642    0.24609     -1.11601     518     355
0.0106      -0.01419       -0.02479      -0.01967    0.01923    0.0389     -0.63732     1241     1247
0.0106      -0.01397       -0.02457      -0.01967    0.01893    0.0386     -0.63643     1241     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00397    0.0157     -1.56422     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00435    0.01532     -1.57827     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00351    0.01616     -1.50574     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00458    0.01509     -1.61232     1241     1247
0.0106      -0.01404       -0.02464      -0.01967    -0.00351    0.01616     -1.52462     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00359    0.01609     -1.50814     1241     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00412    0.01555     -1.57466     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00443    0.01525     -1.59618     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.0042    0.01548     -1.56763     1241     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00374    0.01593     -1.53695     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.0042    0.01548     -1.56763     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00443    0.01525     -1.59618     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00496    0.01471     -1.66451     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00374    0.01593     -1.53216     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00374    0.01593     -1.513     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00466    0.01502     -1.63067     1242     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00267    0.017     -1.44486     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00321    0.01647     -1.46392     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00351    0.01616     -1.51046     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00435    0.01532     -1.57329     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00427    0.0154     -1.57044     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00435    0.01532     -1.57827     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00359    0.01609     -1.51288     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00397    0.0157     -1.54964     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00298    0.0167     -1.44842     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00397    0.0157     -1.53992     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.0045    0.01517     -1.59918     1241     1247
0.0106      -0.01404       -0.02464      -0.01967    -0.00359    0.01609     -1.53186     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00359    0.01609     -1.50339     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00466    0.01502     -1.62559     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00382    0.01586     -1.5251     1241     1247
0.0106      -0.01343       -0.02403      -0.01967    -0.00404    0.01563     -1.53767     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.0045    0.01517     -1.60924     1241     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00343    0.01624     -1.48456     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00427    0.0154     -1.5754     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00343    0.01624     -1.49396     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00412    0.01555     -1.56975     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.0045    0.01517     -1.60924     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00427    0.0154     -1.58036     1241     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00542    0.01425     -1.6912     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00404    0.01563     -1.56209     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00351    0.01616     -1.51046     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.0045    0.01517     -1.60421     1241     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00427    0.0154     -1.59522     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00359    0.01609     -1.51288     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00374    0.01593     -1.52737     1241     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00382    0.01586     -1.5251     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00336    0.01631     -1.49633     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00412    0.01555     -1.55994     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00473    0.01494     -1.62879     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.0045    0.01517     -1.60924     1242     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00321    0.01647     -1.47319     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00427    0.0154     -1.56549     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00298    0.0167     -1.45756     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00382    0.01586     -1.53954     1242     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00427    0.0154     -1.59522     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00458    0.01509     -1.62243     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00427    0.0154     -1.59027     1242     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00397    0.0157     -1.54478     1242     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00359    0.01609     -1.50814     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00443    0.01525     -1.60619     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00397    0.0157     -1.55936     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00351    0.01616     -1.51518     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.0042    0.01548     -1.55777     1242     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00404    0.01563     -1.54256     1242     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00321    0.01647     -1.47319     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00427    0.0154     -1.58036     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00427    0.0154     -1.58531     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.0042    0.01548     -1.5627     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00336    0.01631     -1.50101     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00458    0.01509     -1.61232     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00382    0.01586     -1.53472     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00389    0.01578     -1.53247     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.0042    0.01548     -1.5627     1242     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00397    0.0157     -1.56422     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00397    0.0157     -1.55936     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00389    0.01578     -1.54698     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00366    0.01601     -1.52486     1242     1247
0.0106      -0.01389       -0.02449      -0.01967    -0.00397    0.0157     -1.55936     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00435    0.01532     -1.57827     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00351    0.01616     -1.50574     1242     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.00473    0.01494     -1.62368     1242     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00412    0.01555     -1.57957     1242     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00382    0.01586     -1.53954     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.00382    0.01586     -1.5251     1242     1247
0.0106      -0.01358       -0.02418      -0.01967    -0.0042    0.01548     -1.5627     1242     1247
0.0106      -0.01404       -0.02464      -0.01967    -0.00404    0.01563     -1.57674     1242     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00397    0.0157     -1.54964     1242     1247
0.0106      -0.01397       -0.02457      -0.01967    -0.00351    0.01616     -1.5199     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00458    0.01509     -1.61737     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00496    0.01471     -1.65413     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00466    0.01502     -1.62051     1241     1247
0.0106      -0.01374       -0.02434      -0.01967    -0.00389    0.01578     -1.54214     1241     1247
0.0106      -0.01366       -0.02426      -0.01967    -0.0042    0.01548     -1.56763     1241     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00458    0.01509     -1.59715     1241     1247
0.0106      -0.01381       -0.02441      -0.01967    -0.00412    0.01555     -1.56975     1241     1247
0.0106      -0.01351       -0.02411      -0.01967    -0.00359    0.01609     -1.49865     1241     1247
0.0106      -0.22047       -0.23107      -0.01967    0.22131    0.24098     -0.95887     1241     1247
0.0106      -0.22207       -0.23267      -0.01967    0.22329    0.24296     -0.95763     1241     1247
0.0106      -0.22176       -0.23236      -0.01967    0.22123    0.2409     -0.96456     1241     1247
0.0106      -0.22482       -0.23542      -0.01967    0.22466    0.24434     -0.96349     1241     1247
0.0106      -0.22344       -0.23404      -0.01967    0.22321    0.24289     -0.96359     1241     1247
0.0106      -0.22207       -0.23267      -0.01967    0.22001    0.23968     -0.97074     1241     1247
